Kennziffer;Raumeinheit;Aggregat;Medianeinkommen;Einwohnerdichte;Ländlichkeit;Pkw-Dichte;Pendler mit Arbeitsweg 50 km und mehr;Auspendler
"08125";"Heilbronn";"Landkreis";"3.771";"310";"4";"670";"8,7";"79,4"
"08126";"Hohenlohekreis";"Landkreis";"3.559";"143";"29";"703";"7,1";"72,8"
"08127";"Schwäbisch Hall";"Landkreis";"3.283";"131";"49";"629";"8,4";"64,5"
"08128";"Main-Tauber-Kreis";"Landkreis";"3.189";"101";"48";"647";"9,9";"64,6"
"08135";"Heidenheim";"Landkreis";"3.580";"210";"19";"602";"7,7";"65,2"
"08136";"Ostalbkreis";"Landkreis";"3.672";"207";"31";"624";"9,4";"64,1"
"08211";"Baden-Baden, Stadt";"krsfr. Stadt";"3.303";"390";"0";"612";"12,5";"50,0"
"08212";"Karlsruhe, Stadt";"krsfr. Stadt";"3.682";"1.799";"0";"442";"13,5";"37,7"
"08215";"Karlsruhe";"Landkreis";"3.341";"408";"1";"606";"9,4";"77,8"
"08216";"Rastatt";"Landkreis";"3.764";"312";"2";"630";"8,5";"73,5"
"08221";"Heidelberg, Stadt";"krsfr. Stadt";"3.718";"1.475";"0";"369";"14,4";"45,2"
"08222";"Mannheim, Stadt";"krsfr. Stadt";"3.829";"2.125";"0";"478";"13,0";"39,9"
"08225";"Neckar-Odenwald-Kreis";"Landkreis";"3.148";"127";"63";"625";"10,9";"72,9"
"08226";"Rhein-Neckar-Kreis";"Landkreis";"3.517";"515";"0";"621";"10,0";"81,9"
"08231";"Pforzheim, Stadt";"Landkreis";"3.249";"1.267";"0";"475";"9,6";"45,1"
"08235";"Calw";"Landkreis";"3.187";"197";"25";"625";"9,6";"74,7"
"08236";"Enzkreis";"Landkreis";"3.275";"346";"0";"634";"7,2";"80,8"
"08237";"Freudenstadt";"Landkreis";"3.396";"135";"54";"616";"12,2";"65,4"
"08311";"Freiburg im Breisgau, Stadt";"krsfr. Stadt";"3.471";"1.500";"0";"391";"11,1";"30,5"
"08315";"Breisgau-Hochschwarzwald";"Landkreis";"3.086";"190";"30";"577";"7,9";"77,8"
"08316";"Emmendingen";"Landkreis";"3.203";"242";"7";"582";"6,6";"78,4"
"08317";"Ortenaukreis";"Landkreis";"3.189";"229";"16";"608";"8,8";"66,9"
"08325";"Rottweil";"Landkreis";"3.382";"180";"26";"641";"8,6";"69,0"
"08326";"Schwarzwald-Baar-Kreis";"Landkreis";"3.271";"206";"20";"593";"8,0";"57,9"
"08327";"Tuttlingen";"Landkreis";"3.493";"190";"17";"597";"5,5";"64,0"
"08335";"Konstanz";"Landkreis";"3.267";"347";"13";"541";"9,2";"57,4"
"08336";"Lörrach";"Landkreis";"3.382";"283";"13";"581";"7,1";"63,4"
"08337";"Waldshut";"Landkreis";"3.117";"150";"23";"603";"7,0";"63,7"
"08415";"Reutlingen";"Landkreis";"3.496";"262";"18";"603";"6,7";"66,8"
"08416";"Tübingen";"Landkreis";"3.484";"435";"0";"530";"9,0";"67,7"
"08417";"Zollernalbkreis";"Landkreis";"3.261";"205";"28";"648";"9,1";"64,1"
"08421";"Ulm, Stadt";"krsfr. Stadt";"3.650";"1.058";"0";"511";"12,1";"39,7"
"08425";"Alb-Donau-Kreis";"Landkreis";"3.239";"143";"50";"619";"9,2";"78,1"
"08426";"Biberach";"Landkreis";"3.716";"141";"48";"618";"7,9";"72,4"
"08435";"Bodenseekreis";"Landkreis";"3.896";"323";"8";"612";"7,6";"64,1"
"08436";"Ravensburg";"Landkreis";"3.250";"174";"39";"599";"7,6";"66,4"
"08437";"Sigmaringen";"Landkreis";"3.288";"108";"70";"625";"8,8";"68,3"
"09161";"Ingolstadt, Stadt";"krsfr. Stadt";"4.635";"1.014";"0";"712";"12,6";"32,4"
"09162";"München, Stadt";"krsfr. Stadt";"4.169";"4.686";"0";"496";"8,9";"27,7"
"09163";"Rosenheim, Stadt";"krsfr. Stadt";"3.291";"1.695";"0";"535";"18,8";"53,4"
"09171";"Altötting";"Landkreis";"3.524";"194";"23";"606";"10,6";"75,4"
"09172";"Berchtesgadener Land";"Landkreis";"2.923";"125";"35";"590";"9,0";"65,5"
"09173";"Bad Tölz-Wolfratshausen";"Landkreis";"3.104";"114";"48";"605";"12,8";"74,7"
"09174";"Dachau";"Landkreis";"3.085";"264";"21";"567";"8,0";"84,4"
"09175";"Ebersberg";"Landkreis";"3.103";"256";"18";"567";"8,2";"85,9"
"09176";"Eichstätt";"Landkreis";"3.219";"108";"61";"602";"8,1";"83,7"
"09177";"Erding";"Landkreis";"2.936";"157";"51";"611";"15,0";"81,6"
"09178";"Freising";"Landkreis";"3.440";"223";"28";"581";"15,4";"79,5"
"09179";"Fürstenfeldbruck";"Landkreis";"3.164";"501";"3";"543";"8,3";"85,9"
"09180";"Garmisch-Partenkirchen";"Landkreis";"2.843";"87";"76";"568";"16,1";"59,8"
"09181";"Landsberg am Lech";"Landkreis";"3.308";"148";"52";"642";"24,2";"79,9"
"09182";"Miesbach";"Landkreis";"3.099";"115";"44";"634";"16,8";"75,9"
"09183";"Mühldorf a.Inn";"Landkreis";"3.074";"142";"45";"609";"19,2";"74,9"
"09184";"München";"Landkreis";"4.227";"522";"6";"637";"8,0";"84,3"
"09185";"Neuburg-Schrobenhausen";"Landkreis";"3.209";"130";"46";"637";"10,7";"72,4"
"09186";"Pfaffenhofen a.d.Ilm";"Landkreis";"3.282";"166";"40";"622";"21,8";"80,4"
"09187";"Rosenheim";"Landkreis";"3.023";"180";"32";"624";"15,6";"77,7"
"09188";"Starnberg";"Landkreis";"3.656";"278";"3";"620";"9,1";"79,9"
"09189";"Traunstein";"Landkreis";"3.249";"115";"60";"625";"9,8";"69,7"
"09190";"Weilheim-Schongau";"Landkreis";"3.509";"139";"40";"620";"17,3";"72,0"
"09261";"Landshut, Stadt";"krsfr. Stadt";"3.140";"1.081";"0";"497";"19,6";"54,2"
"09262";"Passau, Stadt";"krsfr. Stadt";"3.265";"744";"0";"520";"12,8";"32,6"
"09263";"Straubing, Stadt";"krsfr. Stadt";"3.007";"704";"0";"554";"15,0";"40,3"
"09271";"Deggendorf";"Landkreis";"3.056";"138";"50";"622";"14,8";"71,0"
"09272";"Freyung-Grafenau";"Landkreis";"2.773";"80";"100";"636";"10,4";"75,1"
"09273";"Kelheim";"Landkreis";"3.094";"114";"41";"622";"13,3";"73,7"
"09274";"Landshut";"Landkreis";"3.096";"117";"75";"644";"16,5";"82,6"
"09275";"Passau";"Landkreis";"2.749";"125";"66";"631";"9,5";"75,7"
"09276";"Regen";"Landkreis";"2.888";"79";"74";"613";"11,2";"72,8"
"09277";"Rottal-Inn";"Landkreis";"2.796";"94";"64";"651";"11,2";"74,3"
"09278";"Straubing-Bogen";"Landkreis";"2.834";"83";"87";"649";"12,1";"82,9"
"09279";"Dingolfing-Landau";"Landkreis";"3.911";"109";"61";"640";"13,2";"72,9"
"09361";"Amberg, Stadt";"krsfr. Stadt";"3.416";"843";"0";"571";"12,9";"41,7"
"09362";"Regensburg, Stadt";"krsfr. Stadt";"3.676";"1.866";"0";"507";"13,9";"30,0"
"09363";"Weiden i.d.OPf., Stadt";"krsfr. Stadt";"2.823";"603";"0";"593";"11,6";"40,4"
"09371";"Amberg-Sulzbach";"Landkreis";"3.107";"82";"66";"651";"12,4";"76,9"
"09372";"Cham";"Landkreis";"2.821";"84";"84";"660";"10,7";"72,1"
"09373";"Neumarkt i.d.OPf.";"Landkreis";"3.182";"99";"64";"629";"12,6";"69,1"
"09374";"Neustadt a.d.Waldnaab";"Landkreis";"2.942";"66";"79";"659";"10,1";"81,1"
"09375";"Regensburg";"Landkreis";"3.111";"138";"36";"623";"9,8";"86,6"
"09376";"Schwandorf";"Landkreis";"2.965";"100";"68";"646";"11,1";"73,6"
"09377";"Tirschenreuth";"Landkreis";"2.887";"67";"100";"646";"9,2";"73,5"
"09461";"Bamberg, Stadt";"krsfr. Stadt";"3.367";"1.413";"0";"503";"15,2";"41,0"
"09462";"Bayreuth, Stadt";"krsfr. Stadt";"3.137";"1.106";"0";"516";"14,1";"30,8"
"09463";"Coburg, Stadt";"krsfr. Stadt";"3.551";"854";"0";"599";"11,4";"39,1"
"09464";"Hof, Stadt";"krsfr. Stadt";"2.668";"792";"0";"524";"12,1";"40,4"
"09471";"Bamberg";"Landkreis";"2.888";"126";"38";"659";"11,9";"85,7"
"09472";"Bayreuth";"Landkreis";"2.849";"82";"77";"662";"10,8";"81,8"
"09473";"Coburg";"Landkreis";"2.655";"147";"38";"647";"7,5";"78,6"
"09474";"Forchheim";"Landkreis";"3.088";"180";"33";"645";"6,9";"82,0"
"09475";"Hof";"Landkreis";"2.698";"107";"75";"641";"8,8";"73,5"
"09476";"Kronach";"Landkreis";"2.745";"104";"56";"651";"7,6";"71,6"
"09477";"Kulmbach";"Landkreis";"2.956";"109";"55";"662";"9,6";"70,1"
"09478";"Lichtenfels";"Landkreis";"2.724";"128";"31";"641";"8,0";"71,3"
"09479";"Wunsiedel i.Fichtelgebirge";"Landkreis";"2.887";"121";"39";"617";"8,6";"62,7"
"09561";"Ansbach, Stadt";"krsfr. Stadt";"3.171";"417";"0";"582";"13,7";"42,2"
"09562";"Erlangen, Stadt";"krsfr. Stadt";"4.633";"1.442";"0";"484";"7,4";"39,2"
"09563";"Fürth, Stadt";"krsfr. Stadt";"3.221";"1.997";"0";"478";"7,6";"70,8"
"09564";"Nürnberg, Stadt";"krsfr. Stadt";"3.470";"2.763";"0";"463";"9,1";"31,8"
"09565";"Schwabach, Stadt";"krsfr. Stadt";"3.011";"1.000";"0";"611";"7,8";"67,4"
